score2018,lifetimescore,full_name,district,party,email,leg_id,url,twitter
80,38,George C. Edwards,1,R,george.edwards@senate.state.md.us,MDL000199,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=edwards&stab=01,
80,28, Andrew A. Serafini,2,R,ndrew.serafini@senate.state.md.us,MDL000709,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=serafini01&stab=01,
100,91,Ronald N. Young,3,D,ronald.young@senate.state.md.us,MDL000387,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=young&stab=01,SenRonYoung
80,26,Michael J. Hough ,4,R,chael.hough@senate.state.md.us,MDL000702,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=hough&stab=01,houghdelegate
80,30,Justin Ready,5,R,justin.ready@senate.state.md.us,MDL000710,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=ready01&stab=01,JustinReady
17,30,Johnny Ray Salling,6,R,JohnnyRay.Salling@senate.state.md.us,MDL000680,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=salling01&stab=01,
86,25,J. B. Jennings,7,R,jb.jennings@senate.state.md.us,MDL000303,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=jennings&stab=01,SenatorJennings
100,77,Katherine Klausmeier,8,D,katherine.klausmeier@senate.state.md.us,MDL000215,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=klausmeier&stab=01,
44,16, Gail H. Bates,9,R,gail.bates@senate.state.md.us,MDL000633,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=bates&stab=01,GailHBates
100,75,Delores G. Kelley,10,D,delores.kelley@senate.state.md.us,MDL000212,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=kelley&stab=01,DeloresGKelley
100,87,Robert A. Zirkin,11,D,bobby.zirkin@senate.state.md.us,MDL000236,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=zirkin&stab=01,ShirleyNPulliam
100,76,Edward J. Kasemeyer,12,D,edward.kasemeyer@senate.state.md.us,MDL000211,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=kasemeyer&stab=01,
